code;description;type;manufacturer;standard
P0001; Fuel Volume Regulator Control Circuit/Open ;common;common;ESOBD
P0002; Fuel Volume Regulator Control Circuit Range/Performance ;common;common;ESOBD
P0003; Fuel Volume Regulator Control Circuit Low ;common;common;ESOBD
P0004; Fuel Volume Regulator Control Circuit High ;common;common;ESOBD
P0005;" Fuel Shutoff Valve ""A"" Control Circuit/Open ";common;common;ESOBD
P0006;" Fuel Shutoff Valve ""A"" Control Circuit Low ";common;common;ESOBD
P0007;" Fuel Shutoff Valve ""A"" Control Circuit High ";common;common;ESOBD
P0008; Engine Positions System Performance Bank 1 ;common;common;ESOBD
P0009; Engine Position System Performance Bank 2 ;common;common;ESOBD
P0010;" ""A"" Camshaft Position Actuator Circuit (Bank 1) ";common;common;ESOBD
P0011;" ""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1) ";common;common;ESOBD
P0012;" ""A"" Camshaft Position - Timing Over-Retarded (Bank 1) ";common;common;ESOBD
P0013;" ""B"" Camshaft Position - Actuator Circuit (Bank 1) ";common;common;ESOBD
P0014;" ""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 1) ";common;common;ESOBD
P0015;" ""B"" Camshaft Position -Timing Over-Retarded (Bank 1) ";common;common;ESOBD
P0016; Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A) ;common;common;ESOBD
P0017; Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B) ;common;common;ESOBD
P0018; Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A) ;common;common;ESOBD
P0019; Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B) ;common;common;ESOBD
P0020;" ""A"" Camshaft Position Actuator Circuit (Bank 2) ";common;common;ESOBD
P0021;" ""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2) ";common;common;ESOBD
P0022;" ""A"" Camshaft Position - Timing Over-Retarded (Bank 2) ";common;common;ESOBD
P0023;" ""B"" Camshaft Position - Actuator Circuit (Bank 2) ";common;common;ESOBD
P0024;" ""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2) ";common;common;ESOBD
P0025;" ""B"" Camshaft Position - Timing Over-Retarded (Bank 2) ";common;common;ESOBD
P0026; Intake Valve Control Solenoid Circuit Range/Performance Bank 1 ;common;common;ESOBD
P0027; Exhaust Valve Control solenoid Circuit Range/Performance Bank 1 ;common;common;ESOBD
P0028; Intake valve Control Solenoid Circuit Range/Performance Bank 2 ;common;common;ESOBD
P0029; Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2 ;common;common;ESOBD
P0030; HO2S Heater Control Circuit (Bank 1 Sensor 1) ;common;common;ESOBD
P0031; HO2S Heater Control Circuit Low (Bank 1 Sensor 1) ;common;common;ESOBD
P0032; HO2S Heater Control Circuit High (Bank 1 Sensor 1) ;common;common;ESOBD
P0033; Turbo Charger Bypass Valve Control Circuit ;common;common;ESOBD
P0034; Turbo Charger Bypass Valve Control Circuit Low ;common;common;ESOBD
P0035; Turbo Charger Bypass Valve Control Circuit High ;common;common;ESOBD
P0036; HO2S Heater Control Circuit (Bank 1 Sensor 2) ;common;common;ESOBD
P0037; HO2S Heater Control Circuit Low (Bank 1 Sensor 2) ;common;common;ESOBD
P0038; HO2S Heater Control Circuit High (Bank 1 Sensor 2) ;common;common;ESOBD
P0039; Turbo/Super Charger Bypass Valve Control Circuit Range/Performance ;common;common;ESOBD
P0040; Upstream Oxygen Sensors Swapped From Bank To Bank ;common;common;ESOBD
P0041; Downstream Oxygen Sensors Swapped From Bank To Bank ;common;common;ESOBD
P0042; HO2S Heater Control Circuit (Bank 1 Sensor 3) ;common;common;ESOBD
P0043; HO2S Heater Control Circuit Low (Bank 1 Sensor 3) ;common;common;ESOBD
P0044; HO2S Heater Control Circuit High (Bank 1 Sensor 3) ;common;common;ESOBD
P0050; HO2S Heater Control Circuit (Bank 2 Sensor 1) ;common;common;ESOBD
P0051; HO2S Heater Control Circuit Low (Bank 2 Sensor 1) ;common;common;ESOBD
P0052; HO2S Heater Control Circuit High (Bank 2 Sensor 1) ;common;common;ESOBD
P0053; HO2S Heater Resistance (Bank 1, Sensor 1) ;common;common;ESOBD
P0054; HO2S Heater Resistance (Bank 1, Sensor 2) ;common;common;ESOBD
P0055; HO2S Heater Resistance (Bank 1, Sensor 3) ;common;common;ESOBD
P0056; HO2S Heater Control Circuit (Bank 2 Sensor 2) ;common;common;ESOBD
P0057; HO2S Heater Control Circuit Low (Bank 2 Sensor 2) ;common;common;ESOBD
P0058; HO2S Heater Control Circuit High (Bank 2 Sensor 2) ;common;common;ESOBD
P0059; HO2S Heater Resistance (Bank 2, Sensor 1) ;common;common;ESOBD
P0060; HO2S Heater Resistance (Bank 2, Sensor 2) ;common;common;ESOBD
P0061; HO2S Heater Resistance (Bank 2, Sensor 3) ;common;common;ESOBD
P0062; HO2S Heater Control Circuit (Bank 2 Sensor 3) ;common;common;ESOBD
P0063; HO2S Heater Control Circuit Low (Bank 2 Sensor 3) ;common;common;ESOBD
P0064; HO2S Heater Control Circuit High (Bank 2 Sensor 3) ;common;common;ESOBD
P0065; Air Assisted Injector Control Range/Performance ;common;common;ESOBD
P0066; Air Assisted Injector Control Circuit or Circuit Low ;common;common;ESOBD
P0067; Air Assisted Injector Control Circuit High ;common;common;ESOBD
P0068; MAP/MAF - Throttle Position Correlation ;common;common;ESOBD
P0069; Manifold Absolute Pressure - Barometric Pressure Correlation ;common;common;ESOBD
P0070; Ambient Air Temperature Sensor Circuit ;common;common;ESOBD
P0071; Ambient Air Temperature Sensor Range/Performance ;common;common;ESOBD
P0072; Ambient Air Temperature Sensor Circuit Low Input ;common;common;ESOBD
P0073; Ambient Air Temperature Sensor Circuit High Input ;common;common;ESOBD
P0074; Ambient Air Temperature Sensor Circuit Intermittent ;common;common;ESOBD
P0075; Intake Valve Control Solenoid Circuit (Bank 1) ;common;common;ESOBD
P0076; Intake Valve Control Solenoid Circuit Low (Bank 1) ;common;common;ESOBD
P0077; Intake Valve Control Solenoid Circuit High (Bank 1) ;common;common;ESOBD
P0078; Exhaust Valve Control Solenoid Circuit (Bank 1) ;common;common;ESOBD
P0079; Exhaust Valve Control Solenoid Circuit Low (Bank 1) ;common;common;ESOBD
P0080; Exhaust Valve Control Solenoid Circuit High (Bank 1) ;common;common;ESOBD
P0081; Intake valve Control Solenoid Circuit (Bank 2) ;common;common;ESOBD
P0082; Intake Valve Control Solenoid Circuit Low (Bank 2) ;common;common;ESOBD
P0083; Intake Valve Control Solenoid Circuit High (Bank 2) ;common;common;ESOBD
P0084; Exhaust Valve Control Solenoid Circuit (Bank 2) ;common;common;ESOBD
P0085; Exhaust Valve Control Solenoid Circuit Low (Bank 2) ;common;common;ESOBD
P0086; Exhaust Valve Control Solenoid Circuit High (Bank 2) ;common;common;ESOBD
P0087; Fuel Rail/System Pressure - Too Low ;common;common;ESOBD
P0088; Fuel Rail/System Pressure - Too High ;common;common;ESOBD
P0089; Fuel Pressure Regulator 1 Performance ;common;common;ESOBD
P0090; Fuel Pressure Regulator 1 Control Circuit ;common;common;ESOBD
P0091; Fuel Pressure Regulator 1 Control Circuit Low ;common;common;ESOBD
P0092; Fuel Pressure Regulator 1 Control Circuit High ;common;common;ESOBD
P0093; Fuel System Leak Detected - Large Leak ;common;common;ESOBD
P0094; Fuel System Leak Detected - Small Leak ;common;common;ESOBD
P0095; Intake Air Temperature Sensor 2 Circuit ;common;common;ESOBD
P0096; Intake Air Temperature Sensor 2 Circuit Range/Performance ;common;common;ESOBD
P0097; Intake Air Temperature Sensor 2 Circuit Low ;common;common;ESOBD
P0098; Intake Air Temperature Sensor 2 Circuit High ;common;common;ESOBD
P0099; Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic;common;common;ESOBD
P0100; Mass or Volume Air Flow Circuit Malfunction ;common;common;ESOBD
P0101; Mass or Volume Air Flow Circuit Range/Performance Problem ;common;common;ESOBD
P0102; Mass or Volume Air Flow Circuit Low Input ;common;common;ESOBD
P0103; Mass or Volume Air Flow Circuit High Input ;common;common;ESOBD
P0104; Mass or Volume Air Flow Circuit Intermittent ;common;common;ESOBD
P0105; Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction ;common;common;ESOBD
